skos_iris,pwc_uris,labels
http://w3id.org/mlso/vocab/ml_task_type/2DCyclistDetection,https://paperswithcode.com/task/2d-cyclist-detection,2D Cyclist Detection
http://w3id.org/mlso/vocab/ml_task_type/2DHumanPoseEstimation,https://paperswithcode.com/task/2d-human-pose-estimation,2D Human Pose Estimation
http://w3id.org/mlso/vocab/ml_task_type/3D-AwareImageSynthesis,https://paperswithcode.com/task/3d-aware-image-synthesis,3D-Aware Image Synthesis
http://w3id.org/mlso/vocab/ml_task_type/3DAnomalyDetection,https://paperswithcode.com/task/3d-anomaly-detection,3D Anomaly Detection
http://w3id.org/mlso/vocab/ml_task_type/3DAnomalyDetectionandSegmentation,https://paperswithcode.com/task/3d-anomaly-detection-and-segmentation,3D Anomaly Detection and Segmentation
http://w3id.org/mlso/vocab/ml_task_type/3DAssembly,https://paperswithcode.com/task/3d-assembly,3D Assembly
http://w3id.org/mlso/vocab/ml_task_type/3DBuildingMeshLabeling,https://paperswithcode.com/task/3d-building-mesh-labeling,3D Building Mesh Labeling
http://w3id.org/mlso/vocab/ml_task_type/3DCanonicalHandPoseEstimation,https://paperswithcode.com/task/3d-canonical-hand-pose-estimation,3D Canonical Hand Pose Estimation
http://w3id.org/mlso/vocab/ml_task_type/3DCarInstanceUnderstanding,https://paperswithcode.com/task/3d-car-instance-understanding,3D Car Instance Understanding
http://w3id.org/mlso/vocab/ml_task_type/3DClassification,https://paperswithcode.com/task/3d-classification,3D Classification
http://w3id.org/mlso/vocab/ml_task_type/3DDenseShapeCorrespondence,https://paperswithcode.com/task/3d-dense-shape-correspondence,3D Dense Shape Correspondence
http://w3id.org/mlso/vocab/ml_task_type/3DFaceAlignment,https://paperswithcode.com/task/3d-face-alignment,3D Face Alignment
http://w3id.org/mlso/vocab/ml_task_type/3DFaceAnimation,https://paperswithcode.com/task/3d-face-animation,3D Face Animation
http://w3id.org/mlso/vocab/ml_task_type/3DFaceModelling,https://paperswithcode.com/task/3d-face-modeling,3D Face Modelling
http://w3id.org/mlso/vocab/ml_task_type/3DFaceReconstruction,https://paperswithcode.com/task/3d-face-reconstruction,3D Face Reconstruction
http://w3id.org/mlso/vocab/ml_task_type/3DFacialExpressionRecognition,https://paperswithcode.com/task/3d-facial-expression-recognition,3D Facial Expression Recognition
http://w3id.org/mlso/vocab/ml_task_type/3DFacialLandmarkLocalization,https://paperswithcode.com/task/3d-facial-landmark-localization,3D Facial Landmark Localization
http://w3id.org/mlso/vocab/ml_task_type/3DFeatureMatching,https://paperswithcode.com/task/3d-feature-matching,3D Feature Matching
http://w3id.org/mlso/vocab/ml_task_type/3DGeometryPerception,https://paperswithcode.com/task/3d-geometry-perception,3D Geometry Perception
http://w3id.org/mlso/vocab/ml_task_type/3DGeometryPrediction,https://paperswithcode.com/task/3d-geometry-prediction,3D Geometry Prediction
http://w3id.org/mlso/vocab/ml_task_type/3DHumanPoseTracking,https://paperswithcode.com/task/3d-human-pose-tracking,3D Human Pose Tracking
http://w3id.org/mlso/vocab/ml_task_type/3DHumanReconstruction,https://paperswithcode.com/task/3d-human-reconstruction,3D Human Reconstruction
http://w3id.org/mlso/vocab/ml_task_type/3DHumanShapeEstimation,https://paperswithcode.com/task/3d-human-shape-estimation,3D Human Shape Estimation
http://w3id.org/mlso/vocab/ml_task_type/3DInteractingHandPoseEstimation,https://paperswithcode.com/task/3d-interacting-hand-pose-estimation,3D Interacting Hand Pose Estimation
http://w3id.org/mlso/vocab/ml_task_type/3DMulti-PersonMeshRecovery,https://paperswithcode.com/task/3d-multi-person-mesh-recovery,3D Multi-Person Mesh Recovery
http://w3id.org/mlso/vocab/ml_task_type/3DObjectClassification,https://paperswithcode.com/task/3d-object-classification,3D Object Classification
http://w3id.org/mlso/vocab/ml_task_type/3DObjectRetrieval,https://paperswithcode.com/task/3d-object-retrieval,3D Object Retrieval
http://w3id.org/mlso/vocab/ml_task_type/3DObjectSuper-Resolution,https://paperswithcode.com/task/3d-object-super-resolution,3D Object Super-Resolution
http://w3id.org/mlso/vocab/ml_task_type/3DPartSegmentation,https://paperswithcode.com/task/3d-part-segmentation,3D Part Segmentation
http://w3id.org/mlso/vocab/ml_task_type/3DPlaceRecognition,https://paperswithcode.com/task/3d-place-recognition,3D Place Recognition
http://w3id.org/mlso/vocab/ml_task_type/3DPointCloudDataAugmentation,https://paperswithcode.com/task/3d-point-cloud-data-augmentation,3D Point Cloud Data Augmentation
http://w3id.org/mlso/vocab/ml_task_type/3DPointCloudInterpolation,https://paperswithcode.com/task/3d-point-cloud-interpolation,3D Point Cloud Interpolation
http://w3id.org/mlso/vocab/ml_task_type/3DPointCloudLinearClassification,https://paperswithcode.com/task/3d-point-cloud-linear-classification,3D Point Cloud Linear Classification
http://w3id.org/mlso/vocab/ml_task_type/3DPointCloudMatching,https://paperswithcode.com/task/3d-point-cloud-matching,3D Point Cloud Matching
http://w3id.org/mlso/vocab/ml_task_type/3DPointCloudReconstruction,https://paperswithcode.com/task/3d-point-cloud-reconstruction,3D Point Cloud Reconstruction
http://w3id.org/mlso/vocab/ml_task_type/3DReconstruction,https://paperswithcode.com/task/3d-reconstruction,3D Reconstruction
http://w3id.org/mlso/vocab/ml_task_type/3DSceneGraphAlignment,https://paperswithcode.com/task/3d-scene-graph-alignment,3D Scene Graph Alignment
http://w3id.org/mlso/vocab/ml_task_type/3DSceneReconstruction,https://paperswithcode.com/task/3d-scene-reconstruction,3D Scene Reconstruction
http://w3id.org/mlso/vocab/ml_task_type/3DSemanticInstanceSegmentation,https://paperswithcode.com/task/3d-semantic-instance-segmentation,3D Semantic Instance Segmentation
http://w3id.org/mlso/vocab/ml_task_type/3DSemanticSceneCompletion,https://paperswithcode.com/task/3d-semantic-scene-completion,3D Semantic Scene Completion
